SRID;Кол-во;Доход_от_продажи;Расход_логистика;Расход_хранение;Прочие_удержания;Компенсация;Баланс;Возврат
113259063617005547.0.0;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11334710117311695.0.0;2;0.00;223.88;0.00;0.00;0.00;-223.88;НЕТ
11337094616974858.2.0;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11337094616974858.5.0;4;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11337094616974858.6.0;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11337094617157678.4.0;2;0.00;265.96;0.00;0.00;0.00;-265.96;НЕТ
11337094617198227.0.0;2;0.00;265.96;0.00;0.00;0.00;-265.96;НЕТ
11337094617277134.1.0;2;0.00;273.48;0.00;0.00;0.00;-273.48;НЕТ
11367922117196404.4.0;4;0.00;280.35;0.00;0.00;0.00;-280.35;НЕТ
11379365117087072.1.0;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11394782;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11394783;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11394784;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11394785;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11394786;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11394787;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11394788;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11394789;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11394790;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11395754;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11395755;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11395756;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11395757;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11395758;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11395759;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11395762;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11395763;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11395768;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11395781;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11395782;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11415235;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11415236;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11415238;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11415240;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
1141962;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11441667117221681.0.0;2;0.00;352.34;0.00;0.00;0.00;-352.34;НЕТ
11491632;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11491633;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11491634;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11491637;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11491638;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11491642;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11492938;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11492939;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11492940;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11492941;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11492942;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11492943;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11492944;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
11492945;2;0.00;0.00;0.00;0.00;0.00;0.00;НЕТ
